,Pincode,Category,SubCategory,Item,Variant,MRP,Dmart_Price,In-Stock
0,500081,Beverages,Tea,Wagh Bakri Premium Leaf Tea Pouch,: 250 gms,₹ 145,₹ 125,YES
1,500081,Beverages,Tea,Wagh Bakri Premium Leaf Tea Pouch,: 500 gms,₹ 290,₹ 240,YES
2,500081,Beverages,Tea,Wagh Bakri Premium Leaf Tea Pouch,: 1 kg,₹ 560,₹ 460,YES
3,500081,Beverages,Tea,Brooke Bond Red Label Natural Care Tea,: 1 kg,₹ 650,₹ 580,YES
4,500081,Beverages,Tea,Brooke Bond Red Label Natural Care Tea,: 500 gms,₹ 335,₹ 285,YES
5,500081,Beverages,Tea,Brooke Bond Red Label Natural Care Tea,: 250 gms,₹ 175,₹ 160,YES
6,500081,Beverages,Tea,Brooke Bond Red Label Tea,: 1 kg,₹ 600,₹ 540,YES
7,500081,Beverages,Tea,Brooke Bond Red Label Tea,: 500 gms,₹ 300,₹ 266,YES
8,500081,Beverages,Tea,Brooke Bond Red Label Tea,: 250 gms,₹ 150,₹ 140,YES
9,500081,Beverages,Tea,Brooke Bond Red Label Tea,: 100 gms,₹ 50,₹ 46,YES
10,500081,Beverages,Tea,Tata Tea Agni,: 1 kg,₹ 550,₹ 350,YES
11,500081,Beverages,Tea,Brooke Bond Taj Mahal Tea,: 250 gms,₹ 230,₹ 204,YES
12,500081,Beverages,Tea,Taj Mahal Tea,: 500 gms,₹ 435,₹ 378,YES
13,500081,Beverages,Tea,Brooke Bond Taj Mahal Tea,: 1 kg,₹ 835,₹ 749,YES
14,500081,Beverages,Tea,Tata Tea Gold,: 250 gms,₹ 150,₹ 138,YES
15,500081,Beverages,Tea,Tata Tea Gold,: 500 gms,₹ 290,₹ 249,YES
16,500081,Beverages,Tea,Tata Tea Gold,: 1 kg,₹ 570,₹ 435,NO
17,500081,Beverages,Tea,Tata Tea Premium,: 500 gms,₹ 280,₹ 255,YES
18,500081,Beverages,Tea,Tata Tea Premium,: 1 kg,₹ 550,₹ 465,YES
19,500081,Beverages,Tea,Tetley Lemon & Honey Green Tea,: 25 Tea-Bags,₹ 170,₹ 140,YES
20,500081,Beverages,Tea,Tetley Green Tea Lemon & Honey,: 100 Tea-Bags,₹ 625,₹ 499,YES
21,500081,Beverages,Tea,Lipton Green Tea - Honey Lemon,: 25 Tea-Bags,₹ 170,₹ 140,YES
22,500081,Beverages,Tea,Lipton Green Tea Honey Lemon,: 100 Tea-Bags,₹ 625,₹ 499,YES
23,500081,Beverages,Tea,Tata Tea Gold Care,: 500 gms,₹ 325,₹ 245,YES
24,500081,Beverages,Tea,Tata Tea Gold Care,: 250 gms,₹ 170,₹ 150,YES
25,500081,Beverages,Tea,Brooke Bond 3 Roses Tea,: 250 gms,₹ 220,₹ 205,YES
26,500081,Beverages,Tea,Brooke Bond 3 Roses Tea,: 500 gms,₹ 410,₹ 360,YES
27,500081,Beverages,Tea,Brooke Bond Taj Mahal Tea,: 100 Tea-Bags,₹ 210,₹ 195,YES
28,500081,Beverages,Tea,Brooke Bond 3Roses Nature Care Tea,: 500 gms,₹ 440,₹ 385,YES
29,500081,Beverages,Tea,Tetley Green Tea Ginger Mint & Lemon,: 100 Tea-Bags,₹ 625,₹ 490,YES
30,500081,Beverages,Tea,Tetley Ginger Mint Lemon Green Tea,: 25 Tea-Bags,₹ 170,₹ 135,YES
31,500081,Beverages,Tea,Tata Tea Teaveda,: 250 gms,₹ 145,₹ 125,YES
32,500081,Beverages,Tea,Lipton Pure & Light Green Tea,: 250 gms,₹ 370,₹ 330,YES
33,500081,Beverages,Tea,Tata Tea Chakra Gold Premium Tea,: 500 gms,₹ 390,₹ 315,YES
34,500081,Beverages,Tea,Tata Gemini Dust Tea,: 1 kg,₹ 420,₹ 380,YES
35,500081,Beverages,Tea,Tea Country Honey & Lemon Green Tea,: 25 Tea-Bags,₹ 130,₹ 69,YES
36,500081,Beverages,Tea,Tetley Long Leaf Green Tea Powder,: 100 gms,₹ 155,₹ 142,YES
37,500081,Beverages,Tea,Tetley Long Leaf Green Tea Powder,: 250 gms,₹ 370,₹ 315,YES
38,500081,Beverages,Tea,Tata Tea Agni Dust Tea,: 1 kg,₹ 345,₹ 315,YES
39,500081,Beverages,Tea,Tata Tea Agni Dust Tea,: 250 gms,₹ 95,₹ 89,YES
40,500081,Beverages,Tea,Lipton Green Tea - Pure & Light,: 25 Tea-Bags,₹ 170,₹ 149,YES
41,500081,Beverages,Tea,Lipton Green Tea - Pure & Light,: 100 Tea-Bags,₹ 625,₹ 555,YES
42,500081,Beverages,Tea,Tata Tea Gold Care,: 1 kg,₹ 630,₹ 579,YES
43,500081,Beverages,Tea,Lipton Green Tea - Lemon Zest,: 25 Tea-Bags,₹ 170,₹ 149,NO
44,500081,Beverages,Tea,Tata Tea Chakra Gold Premium Tea,: 250 gms,₹ 220,₹ 204,YES
45,500081,Beverages,Tea,Wagh Bakri Masala Tea,: 200 gms,₹ 160,₹ 140,YES
46,500081,Beverages,Tea,Tata Gemini Dust Tea,: 500 gms,₹ 265,₹ 245,YES
47,500081,Beverages,Tea,Wagh Bakri Green Tea Honey Lemon,: 25 Tea-Bags,₹ 175,₹ 130,YES
48,500081,Beverages,Tea,Tea Country Original Green Tea,: 25 Tea-Bags,₹ 130,₹ 69,YES
49,500081,Beverages,Tea,Wagh Bakri Premix Masala Instant Tea,: 140 gms,₹ 150,₹ 120,NO
50,500081,Beverages,Tea,Tata Gemini Dust Tea,: 250 gms,₹ 135,₹ 125,YES
51,500081,Beverages,Tea,Tata Tea Chakra Gold Elaichi Tea,: 250 gms,₹ 220,₹ 185,YES
52,500081,Beverages,Tea,Tata Gemini Dust Tea Jar,: 250 gms,₹ 140,₹ 130,YES
53,500081,Beverages,Tea,Wagh Bakri Premix Ginger Instant Tea,: 140 gms,₹ 150,₹ 130,YES
54,500081,Beverages,Tea,Tata Tea Chakra Gold Care,: 250 gms,₹ 240,₹ 205,YES
55,500081,Beverages,Tea,Wagh Bakri Green Tea Tulsi,: 25 Tea-Bags,₹ 165,₹ 82,YES
56,500081,Beverages,Tea,Tata Gemini Dust Tea Jar,: 1 kg,₹ 438,₹ 390,YES
57,500081,Beverages,Tea,Wagh Bakri Premix Elaichi Instant Tea,: 140 gms,₹ 150,₹ 125,YES
58,500081,Beverages,Tea,TGL Co. Mogo Mogo Green Tea,: 16 Tea-Bags,₹ 349,₹ 339,YES
59,500081,Beverages,Tea,TGL Co. Kashmiri Kahwa Green Tea,: 16 Tea-Bags,₹ 299,₹ 149,YES
60,500081,Beverages,Tea Bags,Tetley Lemon & Honey Green Tea,: 25 Tea-Bags,₹ 170,₹ 140,YES
61,500081,Beverages,Tea Bags,Tetley Green Tea Lemon & Honey,: 100 Tea-Bags,₹ 625,₹ 499,YES
62,500081,Beverages,Tea Bags,Lipton Green Tea - Honey Lemon,: 25 Tea-Bags,₹ 170,₹ 140,YES
63,500081,Beverages,Tea Bags,Lipton Green Tea Honey Lemon,: 100 Tea-Bags,₹ 625,₹ 499,YES
64,500081,Beverages,Tea Bags,Brooke Bond Taj Mahal Tea,: 100 Tea-Bags,₹ 210,₹ 195,YES
65,500081,Beverages,Tea Bags,Tetley Green Tea Ginger Mint & Lemon,: 100 Tea-Bags,₹ 625,₹ 490,YES
66,500081,Beverages,Tea Bags,Tetley Ginger Mint Lemon Green Tea,: 25 Tea-Bags,₹ 170,₹ 135,YES
67,500081,Beverages,Tea Bags,Tea Country Honey & Lemon Green Tea,: 25 Tea-Bags,₹ 130,₹ 69,YES
68,500081,Beverages,Tea Bags,Lipton Green Tea - Pure & Light,: 25 Tea-Bags,₹ 170,₹ 149,YES
69,500081,Beverages,Tea Bags,Lipton Green Tea - Pure & Light,: 100 Tea-Bags,₹ 625,₹ 555,YES
70,500081,Beverages,Tea Bags,Lipton Green Tea - Lemon Zest,: 25 Tea-Bags,₹ 170,₹ 149,NO
71,500081,Beverages,Tea Bags,Wagh Bakri Green Tea Honey Lemon,: 25 Tea-Bags,₹ 175,₹ 130,YES
72,500081,Beverages,Tea Bags,Tea Country Original Green Tea,: 25 Tea-Bags,₹ 130,₹ 69,YES
73,500081,Beverages,Tea Bags,Tea Country Tulsi Green Tea,: 25 Tea-Bags,₹ 130,₹ 69,YES
74,500081,Beverages,Tea Bags,Wagh Bakri Green Tea Tulsi,: 25 Tea-Bags,₹ 165,₹ 82,YES
75,500081,Beverages,Tea Bags,Lipton Green Tea - Tulsi Natura,: 25 Tea-Bags,₹ 170,₹ 135,YES
76,500081,Beverages,Tea Bags,Typhoo Lemongrass Green Tea,: 25 Tea-Bags,₹ 210,₹ 130,YES
77,500081,Beverages,Tea Bags,Typhoo Supporting Tulsi Green Tea,: 25 Tea-Bags,₹ 210,₹ 130,YES
78,500081,Beverages,Tea Bags,Tetley Green Tea Bags,: 10 Tea-Bags,₹ 70,₹ 64,YES
79,500081,Beverages,Tea Bags,Eco Valley Organic Green Tea - Divine Tulsi,: 25 Tea-Bags,₹ 175,₹ 150,YES
80,500081,Beverages,Green Tea,Tetley Lemon & Honey Green Tea,: 25 Tea-Bags,₹ 170,₹ 140,YES
81,500081,Beverages,Green Tea,Tetley Green Tea Lemon & Honey,: 100 Tea-Bags,₹ 625,₹ 499,YES
82,500081,Beverages,Green Tea,Lipton Green Tea - Honey Lemon,: 25 Tea-Bags,₹ 170,₹ 140,YES
83,500081,Beverages,Green Tea,Lipton Green Tea Honey Lemon,: 100 Tea-Bags,₹ 625,₹ 499,YES
84,500081,Beverages,Green Tea,Tetley Green Tea Ginger Mint & Lemon,: 100 Tea-Bags,₹ 625,₹ 490,YES
85,500081,Beverages,Green Tea,Tetley Ginger Mint Lemon Green Tea,: 25 Tea-Bags,₹ 170,₹ 135,YES
86,500081,Beverages,Green Tea,Tetley Green Tea Classic Immune With Vitamin C,: 25 Tea-Bags,₹ 170,₹ 130,YES
87,500081,Beverages,Green Tea,Tetley Classic Immune Green Tea,: 100 Tea-Bags,₹ 625,₹ 488,YES
