,,,,,,,,,,x,x,,,,,,,,,,,
DATE,STATION,,GUN NO.,Voltage_actual,Voltage_Prog,Current_actual,Current_prog,Weld_time_actual,Weld_time_Prog,Heat Generated Actual,Heat Generated Prog,Energy_actual,,Energy_Prog,Heat_actual,Heat_prog,Resistance_actual,Resistance_prog,Phase_actual,Phase_prog,Derived heat,Derived Energy
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.03,9,800,1000,12462.56,27000,12918.77,4%,10000,15572.19,10000,235,300,36.02,100,19344.27,15578.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.93,3,8.08,9,800,1000,12475.52,27000,12890.64,3%,10000,15598.45,10000,234,300,35.69,100,19585.92,15594.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.91,3,8.08,9,800,1000,12346.24,27000,12755.31,3%,10000,15428.6,10000,231,300,35.87,100,19585.92,15432.8
22.12.2022,ECA-40,RH02,D1-MG-885,2.09,3,8.08,9,868,1000,14658.0896,27000,15148.67,3%,10000,16895.35,10000,263,300,38.04,100,19585.92,16887.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.77,3,8.68,9,636,1000,9771.2496,27000,9848.207,1%,10000,15362.01,10000,190,300,35.76,100,22602.72,15363.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.71,3,9.95,9,610,1000,10378.845,27000,10511.72,1%,10000,17020.66,10000,164,300,37.05,100,29700.75,17014.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.83,3,8.61,9,620,1000,9768.906,27000,9898.078,1%,10000,15747.52,10000,202,300,36.3,100,22239.63,15756.3
22.12.2022,ECA-40,RH02,D1-MG-885,2.13,3,8.13,9,800,1000,13853.52,27000,14305.76,3%,10000,17314.34,10000,253,300,38.79,100,19829.07,17316.9
22.12.2022,ECA-40,RH02,D1-MG-885,1.92,3,8.11,9,800,1000,12456.96,27000,12892.62,3%,10000,15578.69,10000,230,300,36.46,100,19731.63,15571.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.95,3,8.05,9,800,1000,12558,27000,12954.25,3%,10000,15695.75,10000,233,300,36.53,100,19440.75,15697.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.95,3,8.05,9,800,1000,12558,27000,12972.1,3%,10000,15696.13,10000,236,300,36.62,100,19440.75,15697.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.89,3,8.14,9,800,1000,12307.68,27000,12716.1,3%,10000,15386.87,10000,224,300,35.74,100,19877.88,15384.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.94,3,8.09,9,800,1000,12555.68,27000,12984.9,3%,10000,15693.24,10000,237,300,36.37,100,19634.43,15694.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.92,3,8.08,9,800,1000,12410.88,27000,12876.02,4%,10000,15505.73,10000,235,300,36.51,100,19585.92,15513.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.06,9,800,1000,12702.56,27000,13125.42,3%,10000,15868.74,10000,244,300,37.05,100,19489.08,15878.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.82,3,8.73,9,617,1000,9803.2662,27000,9919.646,1%,10000,15890.6,10000,195,300,36.45,100,22863.87,15888.6
22.12.2022,ECA-40,RH02,D1-MG-885,1.63,3,9.29,9,560,1000,8479.912,27000,8602.914,1%,10000,15141.72,10000,167,300,35.15,100,25891.23,15142.7
22.12.2022,ECA-40,RH02,D1-MG-885,1.86,3,8.78,9,560,1000,9145.248,27000,9269.021,1%,10000,16323.92,10000,196,300,36.57,100,23126.52,16330.8
22.12.2022,ECA-40,RH02,D1-MG-885,2.07,3,8.09,9,800,1000,13397.04,27000,13784.17,3%,10000,16745.68,10000,247,300,37.64,100,19634.43,16746.3
22.12.2022,ECA-40,RH02,D1-MG-885,1.93,3,8.02,9,800,1000,12382.88,27000,12816.93,3%,10000,15480.34,10000,231,300,36.21,100,19296.12,15478.6
